gene_id,D20,D21,D22,L7,L8,L9,R13B,R15B,R33,S4,S5,S7
Pastreoides58307,0,2,6,3,0,0,0,0,0,0,2,2
Pastreoides58306,0,52,33,0,0,0,0,13,0,0,0,210
Pastreoides58301,0,100,27,334,445,344,124,32,3,486,306,576
Pastreoides58300,0,12,6,1407,2011,2903,3,3,0,3108,1764,3643
Pastreoides64421,2,1,2,2,2,0,6,3,1,0,1,2
Pastreoides58302,0,14,20,1684,785,999,77,4,0,1041,654,1129
Pastreoides18491,0,2,2,4,3,24,9,3,0,35,29,50
Pastreoides07533,0,4,2,3,6,2,22,3,1,5,3,6
Pastreoides07530,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides18492,0,28,33,0,6,14,96,9,6,19,12,23
Pastreoides18495,0,41,17,0,0,2,30,6,5,6,0,0
Pastreoides07537,0,0,0,1510,1542,3645,0,0,0,2217,1416,2282
Pastreoides07534,0,25,49,588,653,1016,733,15,10,714,499,1237
Pastreoides18496,0,21,23,0,0,9,46,4,8,9,0,5
Pastreoides18499,368,13222,16565,66891,103976,85160,13239,10711,4571,114885,66100,66657
Pastreoides18498,14,683,878,7076,6823,7144,1367,311,83,6065,3485,6607
Pastreoides07538,4,58,130,60,64,51,619,17,0,18,14,50
Pastreoides07539,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides21303,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides53232,0,0,0,0,0,0,0,0,0,2,0,2
Pastreoides19548,0,5,0,31,44,14,34,6,0,13,8,21
Pastreoides19549,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides19544,0,0,0,0,0,0,0,0,0,63,0,47
Pastreoides19545,0,6,4,1,2,2,7,2,3,7,2,2
Pastreoides19546,0,0,0,3,2,3,3,0,3,2,0,2
Pastreoides19547,0,1,0,1,1,1,2,0,1,2,0,3
Pastreoides19540,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides19541,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides19542,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides19543,0,0,22,0,0,49,40,0,0,108,19,128
Pastreoides19979,0,10,23,279,254,286,118,22,1,454,261,520
Pastreoides19978,16,1104,1319,16524,19165,12428,1783,810,292,10368,6088,10054
Pastreoides25524,0,0,0,290,580,430,0,0,0,289,268,455
Pastreoides62708,0,0,0,0,2,0,1,0,0,4,0,0
Pastreoides62709,0,1,3,12,12,7,4,1,0,5,3,5
Pastreoides62700,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides62701,0,0,2,37,64,18,2,0,4,41,17,36
Pastreoides62702,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides62703,0,0,0,0,2,0,1,0,0,4,0,0
Pastreoides62704,0,0,0,3,0,0,0,0,0,3,0,0
Pastreoides62705,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides62706,0,0,2,36,53,17,2,0,1,39,17,36
Pastreoides62707,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides41615,2,3,0,21,11,44,14,13,5,6,11,21
Pastreoides41614,0,10,23,249,158,245,34,12,20,155,87,153
Pastreoides41617,0,18,26,15,20,21,23,14,0,20,9,24
Pastreoides41616,0,0,0,13,5,3,0,3,3,2,1,8
Pastreoides41611,0,12,118,111,149,270,66,48,0,198,123,171
Pastreoides41610,4,12,18,61,55,153,11,3,0,71,86,68
Pastreoides41613,0,40,31,86,52,102,0,19,0,75,63,117
Pastreoides62433,0,0,0,0,0,0,0,0,0,0,0,0
Pastreoides59857,0,0,0,22,0,0,23,0,0,77,8,0
Pastreoides41619,0,0,0,228,117,233,0,0,0,160,138,128
Pastreoides41618,0,0,2,8,29,15,34,3,7,18,14,20
Pastreoides19971,0,0,0,0,0,0,0,0,0,0,0,0
